,session1,session2,label,volume1,volume2,volume_diff,dice,surface_dice,hd95,label_name,volume_diff_noabs,percentage_vol_diff
3421,ses-056,ses-057,1014,3924.0,4519.0,595.0,0.6902759682577283,0.9688161025202086,1.0,Medial Orbitofrontal L,-595.0,-0.13166629785350742
3435,ses-056,ses-057,1028,24136.0,25113.0,977.0,0.7358118946577595,0.9760016855299762,1.0,Superior Frontal L,-977.0,-0.0389041532274121
3437,ses-056,ses-057,1030,16590.0,17398.0,808.0,0.675414852300812,0.9338457240790434,1.4142135623730951,Superior Temporal L,-808.0,-0.046442119783883205
3440,ses-056,ses-057,1035,5841.0,6160.0,319.0,0.7846012832263978,0.9809027374504758,1.0,Insula L,-319.0,-0.05178571428571429
3441,ses-056,ses-057,2002,1955.0,2157.0,202.0,0.7422178988326849,0.9759179476662738,1.0,Caudal Anterior Cingulate R,-202.0,-0.09364858599907279
3444,ses-056,ses-057,2006,1352.0,1478.0,126.0,0.7597173144876325,0.929736946689493,1.7320508075688772,Entorhinal Cortex R,-126.0,-0.08525033829499323
3445,ses-056,ses-057,2007,7951.0,7996.0,45.0,0.8083025020380009,0.9904071626066485,1.0,Fusiform Gyrus R,-45.0,-0.0056278139069534765
3446,ses-056,ses-057,2008,15705.0,15627.0,78.0,0.7992467764585727,0.9913550926628331,1.0,Inferior Parietal R,78.0,0.00499136110577846
3450,ses-056,ses-057,2012,7533.0,7727.0,194.0,0.763302752293578,0.9726416291059294,1.0,Lateral Orbitofrontal R,-194.0,-0.025106768474181442
3452,ses-056,ses-057,2014,3688.0,3961.0,273.0,0.6309321479932017,0.9265128808008098,1.7320508075688772,Medial Orbitofrontal R,-273.0,-0.06892198939661702
3466,ses-056,ses-057,2028,27788.0,28699.0,911.0,0.7646007045868961,0.9798348550658055,1.0,Superior Frontal R,-911.0,-0.03174326631589951
3468,ses-056,ses-057,2030,16287.0,17122.0,835.0,0.8314526025921158,0.9924082666785466,1.0,Superior Temporal R,-835.0,-0.04876766732858311
3471,ses-056,ses-057,2035,5796.0,6178.0,382.0,0.8453315516953399,0.9923800914574514,1.0,Insula R,-382.0,-0.06183230819035287
3472,ses-057,ses-058,1002,3420.0,3478.0,58.0,0.7912438387938533,0.9849507484958164,1.0,Caudal Anterior Cingulate L,-58.0,-0.01667625071880391
3475,ses-057,ses-058,1006,1544.0,1609.0,65.0,0.761814145258484,0.9335786083991706,2.23606797749979,Entorhinal Cortex L,-65.0,-0.040397762585456805
3476,ses-057,ses-058,1007,9047.0,8888.0,159.0,0.7882910510175635,0.9770961461812663,1.0,Fusiform Gyrus L,159.0,0.01788928892889289
3477,ses-057,ses-058,1008,13130.0,13567.0,437.0,0.7604599767764169,0.9898412422455811,1.0,Inferior Parietal L,-437.0,-0.03221051079826048
3481,ses-057,ses-058,1012,7970.0,7677.0,293.0,0.7749728382437528,0.9788445192523266,1.0,Lateral Orbitofrontal L,293.0,0.038165950240979546
3483,ses-057,ses-058,1014,4519.0,4386.0,133.0,0.751263335204941,0.9860874256294203,1.0,Medial Orbitofrontal L,133.0,0.03032375740994072
3497,ses-057,ses-058,1028,25113.0,23215.0,1898.0,0.7923770898857805,0.9890732055885637,1.0,Superior Frontal L,1898.0,0.08175748438509585
3499,ses-057,ses-058,1030,17398.0,17097.0,301.0,0.8155964632555442,0.990911712614184,1.0,Superior Temporal L,301.0,0.01760542785283968
3502,ses-057,ses-058,1035,6160.0,6126.0,34.0,0.8497476802865049,0.9954884274125336,1.0,Insula L,34.0,0.00555011426705844
3503,ses-057,ses-058,2002,2157.0,2154.0,3.0,0.748318255625145,0.9782402464348986,1.0,Caudal Anterior Cingulate R,3.0,0.001392757660167131
3506,ses-057,ses-058,2006,1478.0,1437.0,41.0,0.8,0.9830151016930538,1.0,Entorhinal Cortex R,41.0,0.028531663187195546
3507,ses-057,ses-058,2007,7996.0,8161.0,165.0,0.8133935755400136,0.9891889118565438,1.0,Fusiform Gyrus R,-165.0,-0.020218110525670872
3508,ses-057,ses-058,2008,15627.0,16461.0,834.0,0.8287833457990526,0.9926363538263319,1.0,Inferior Parietal R,-834.0,-0.050665208675050116
3512,ses-057,ses-058,2012,7727.0,7199.0,528.0,0.7561302425298138,0.9767699049647548,1.0,Lateral Orbitofrontal R,528.0,0.07334351993332407
3514,ses-057,ses-058,2014,3961.0,3726.0,235.0,0.7360478730323924,0.9737452693400301,1.0,Medial Orbitofrontal R,235.0,0.0630703166935051
3528,ses-057,ses-058,2028,28699.0,25157.0,3542.0,0.7426470588235294,0.9707285567618297,1.0,Superior Frontal R,3542.0,0.14079580236117184
3530,ses-057,ses-058,2030,17122.0,16969.0,153.0,0.8381684315508492,0.9911567251789204,1.0,Superior Temporal R,153.0,0.009016441746714596
3533,ses-057,ses-058,2035,6178.0,6104.0,74.0,0.8610975411170819,0.9966429771208655,1.0,Insula R,74.0,0.012123197903014417
3534,ses-058,ses-059,1002,3478.0,3486.0,8.0,0.8159103963239518,0.9930022002767879,1.0,Caudal Anterior Cingulate L,-8.0,-0.002294893861158921
3537,ses-058,ses-059,1006,1609.0,1509.0,100.0,0.7479153303399615,0.9379717463528737,1.4142135623730951,Entorhinal Cortex L,100.0,0.06626905235255136
3538,ses-058,ses-059,1007,8888.0,9514.0,626.0,0.8170850994457124,0.9720866756262925,1.0,Fusiform Gyrus L,-626.0,-0.065797771704856
3539,ses-058,ses-059,1008,13567.0,14289.0,722.0,0.809233199310741,0.9927528329077427,1.0,Inferior Parietal L,-722.0,-0.05052837847295122
3543,ses-058,ses-059,1012,7677.0,8560.0,883.0,0.7211923384861736,0.940033245495413,1.4142135623730951,Lateral Orbitofrontal L,-883.0,-0.10315420560747664
3545,ses-058,ses-059,1014,4386.0,4868.0,482.0,0.7430300410633239,0.9636938592026277,1.4142135623730951,Medial Orbitofrontal L,-482.0,-0.09901396877567789
3559,ses-058,ses-059,1028,23215.0,26531.0,3316.0,0.7396775620150364,0.9763001413537603,1.0,Superior Frontal L,-3316.0,-0.1249858655911952
3561,ses-058,ses-059,1030,17097.0,17871.0,774.0,0.8256691832532601,0.9875851166956785,1.0,Superior Temporal L,-774.0,-0.043310391136478096
3564,ses-058,ses-059,1035,6126.0,6367.0,241.0,0.8401504842711919,0.9913464587905242,1.0,Insula L,-241.0,-0.03785142139155018
3565,ses-058,ses-059,2002,2154.0,2199.0,45.0,0.7989892028486102,0.9946486409616412,1.0,Caudal Anterior Cingulate R,-45.0,-0.020463847203274217
3568,ses-058,ses-059,2006,1437.0,1514.0,77.0,0.6696035242290749,0.9002107820550641,1.4142135623730951,Entorhinal Cortex R,-77.0,-0.05085865257595773
3569,ses-058,ses-059,2007,8161.0,8633.0,472.0,0.7443134452780755,0.9671428750386262,1.0,Fusiform Gyrus R,-472.0,-0.05467392563419437
3570,ses-058,ses-059,2008,16461.0,17196.0,735.0,0.8132037911875687,0.993023012564004,1.0,Inferior Parietal R,-735.0,-0.04274249825540823
3574,ses-058,ses-059,2012,7199.0,8658.0,1459.0,0.6527085829602068,0.9246420853439793,2.23606797749979,Lateral Orbitofrontal R,-1459.0,-0.1685146685146685
3576,ses-058,ses-059,2014,3726.0,4145.0,419.0,0.6934315842967856,0.9567643467576865,1.4142135623730951,Medial Orbitofrontal R,-419.0,-0.10108564535585042
3590,ses-058,ses-059,2028,25157.0,30972.0,5815.0,0.7048762671702685,0.9477367668446868,1.4142135623730951,Superior Frontal R,-5815.0,-0.18775022601059022
3592,ses-058,ses-059,2030,16969.0,18135.0,1166.0,0.7593436645396536,0.9720434484045772,1.0,Superior Temporal R,-1166.0,-0.06429556106975462
3595,ses-058,ses-059,2035,6104.0,6366.0,262.0,0.8261427425821972,0.9828755626653927,1.0,Insula R,-262.0,-0.04115614200439836
3596,ses-059,ses-060,1002,3486.0,3638.0,152.0,0.7692307692307693,0.9617813955343786,1.0,Caudal Anterior Cingulate L,-152.0,-0.04178119846069269
3599,ses-059,ses-060,1006,1509.0,1614.0,105.0,0.7070124879923151,0.9084905130655716,2.23606797749979,Entorhinal Cortex L,-105.0,-0.06505576208178439
3600,ses-059,ses-060,1007,9514.0,8885.0,629.0,0.752214794282298,0.965780885025276,1.4142135623730951,Fusiform Gyrus L,629.0,0.07079347214406302
3601,ses-059,ses-060,1008,14289.0,14152.0,137.0,0.7999015505783903,0.9897187037236078,1.0,Inferior Parietal L,137.0,0.009680610514414923
3605,ses-059,ses-060,1012,8560.0,8976.0,416.0,0.8062271897810219,0.9799901915444849,1.0,Lateral Orbitofrontal L,-416.0,-0.04634581105169341
3607,ses-059,ses-060,1014,4868.0,4749.0,119.0,0.7690547987938027,0.9842220762045775,1.0,Medial Orbitofrontal L,119.0,0.02505790692777427
3621,ses-059,ses-060,1028,26531.0,27746.0,1215.0,0.8227794461742542,0.9910794695135834,1.0,Superior Frontal L,-1215.0,-0.04379009586967491
3623,ses-059,ses-060,1030,17871.0,17414.0,457.0,0.8285673799064759,0.9865764849785262,1.0,Superior Temporal L,457.0,0.026243252555415184
3626,ses-059,ses-060,1035,6367.0,6232.0,135.0,0.8281609651559647,0.9916717196675646,1.0,Insula L,135.0,0.021662387676508344
3627,ses-059,ses-060,2002,2199.0,2223.0,24.0,0.8086838534599728,0.9859604705507814,1.0,Caudal Anterior Cingulate R,-24.0,-0.010796221322537112
3630,ses-059,ses-060,2006,1514.0,1468.0,46.0,0.6975184439973172,0.8986196656493121,1.4142135623730951,Entorhinal Cortex R,46.0,0.031335149863760216
3631,ses-059,ses-060,2007,8633.0,8029.0,604.0,0.6985956067698955,0.9423643408806311,1.4142135623730951,Fusiform Gyrus R,604.0,0.07522730103375265
3632,ses-059,ses-060,2008,17196.0,16614.0,582.0,0.8278024253179532,0.9928808862844236,1.0,Inferior Parietal R,582.0,0.03503069700252799
3636,ses-059,ses-060,2012,8658.0,8572.0,86.0,0.7600696459663377,0.973869801263221,1.0,Lateral Orbitofrontal R,86.0,0.010032664489034065
3638,ses-059,ses-060,2014,4145.0,3767.0,378.0,0.7166329625884732,0.9557538157198417,1.4142135623730951,Medial Orbitofrontal R,378.0,0.10034510220334483
3652,ses-059,ses-060,2028,30972.0,31588.0,616.0,0.8292519181585678,0.9938523893657429,1.0,Superior Frontal R,-616.0,-0.019501076358110676
3654,ses-059,ses-060,2030,18135.0,17417.0,718.0,0.7687331233123312,0.9680312090884331,1.0,Superior Temporal R,718.0,0.04122409140494919
3657,ses-059,ses-060,2035,6366.0,6326.0,40.0,0.8227229751024268,0.9847767501151587,1.0,Insula R,40.0,0.006323110970597534
3658,ses-060,ses-061,1002,3638.0,3547.0,91.0,0.7727209464161447,0.9450295344267399,1.4142135623730951,Caudal Anterior Cingulate L,91.0,0.025655483507189172
3661,ses-060,ses-061,1006,1614.0,1427.0,187.0,0.7589608681354818,0.926897287912255,2.23606797749979,Entorhinal Cortex L,187.0,0.13104414856341975
3662,ses-060,ses-061,1007,8885.0,9067.0,182.0,0.8200757575757576,0.976687553358406,1.0,Fusiform Gyrus L,-182.0,-0.02007279144149112
3663,ses-060,ses-061,1008,14152.0,13460.0,692.0,0.8090685209329277,0.9926049986147304,1.0,Inferior Parietal L,692.0,0.05141158989598811
3667,ses-060,ses-061,1012,8976.0,8312.0,664.0,0.7987043035631652,0.9702432163304751,1.0,Lateral Orbitofrontal L,664.0,0.07988450433108758
3669,ses-060,ses-061,1014,4749.0,4553.0,196.0,0.755966458826059,0.966649992486696,1.0,Medial Orbitofrontal L,196.0,0.043048539424555235
3683,ses-060,ses-061,1028,27746.0,26748.0,998.0,0.8100341321980401,0.9870729252021284,1.0,Superior Frontal L,998.0,0.03731120083744579
3685,ses-060,ses-061,1030,17414.0,17235.0,179.0,0.8312505411411585,0.9876469299096329,1.0,Superior Temporal L,179.0,0.010385842761821874
3688,ses-060,ses-061,1035,6232.0,6188.0,44.0,0.8431561996779388,0.9944754595106651,1.0,Insula L,44.0,0.007110536522301228
3689,ses-060,ses-061,2002,2223.0,2177.0,46.0,0.81,0.9910989519991726,1.0,Caudal Anterior Cingulate R,46.0,0.021129995406522738
3692,ses-060,ses-061,2006,1468.0,1459.0,9.0,0.7967201913221729,0.9744083363428855,1.0,Entorhinal Cortex R,9.0,0.00616860863605209
3693,ses-060,ses-061,2007,8029.0,8042.0,13.0,0.8346711467861365,0.9909610674208179,1.0,Fusiform Gyrus R,-13.0,-0.001616513305147973
3694,ses-060,ses-061,2008,16614.0,15731.0,883.0,0.8136033390013913,0.9878872243974459,1.0,Inferior Parietal R,883.0,0.05613120589917996
3698,ses-060,ses-061,2012,8572.0,8381.0,191.0,0.7907744941898189,0.974689319068763,1.0,Lateral Orbitofrontal R,191.0,0.022789643240663404
3700,ses-060,ses-061,2014,3767.0,3951.0,184.0,0.7419020471624773,0.9561324882501139,1.4142135623730951,Medial Orbitofrontal R,-184.0,-0.04657048848392812
3714,ses-060,ses-061,2028,31588.0,30515.0,1073.0,0.8010241051156949,0.9898990803557058,1.0,Superior Frontal R,1073.0,0.035163034573160744
3716,ses-060,ses-061,2030,17417.0,17170.0,247.0,0.838118368173013,0.9891929951239959,1.0,Superior Temporal R,247.0,0.014385556202679091
3719,ses-060,ses-061,2035,6326.0,6133.0,193.0,0.8426037402680793,0.9914029855004121,1.0,Insula R,193.0,0.0314691015816077
3720,ses-061,ses-062,1002,3547.0,3660.0,113.0,0.8222561398640211,0.9809004222675752,1.0,Caudal Anterior Cingulate L,-113.0,-0.03087431693989071
3723,ses-061,ses-062,1006,1427.0,1430.0,3.0,0.7805390269513476,0.9708152182773944,1.0,Entorhinal Cortex L,-3.0,-0.002097902097902098
3724,ses-061,ses-062,1007,9067.0,9026.0,41.0,0.7972143923064169,0.9868609179376947,1.0,Fusiform Gyrus L,41.0,0.004542432971415909
3725,ses-061,ses-062,1008,13460.0,13336.0,124.0,0.8315420211971936,0.9947869359633252,1.0,Inferior Parietal L,124.0,0.009298140371925615
3729,ses-061,ses-062,1012,8312.0,8400.0,88.0,0.7880564863571087,0.9798979190614308,1.0,Lateral Orbitofrontal L,-88.0,-0.010476190476190476
3731,ses-061,ses-062,1014,4553.0,4712.0,159.0,0.7747436589314625,0.9772213540580005,1.0,Medial Orbitofrontal L,-159.0,-0.03374363327674024
3745,ses-061,ses-062,1028,26748.0,26182.0,566.0,0.8262610995654638,0.9937215567934975,1.0,Superior Frontal L,566.0,0.021617905431212284
3747,ses-061,ses-062,1030,17235.0,17258.0,23.0,0.8107152175803787,0.9901522506872539,1.0,Superior Temporal L,-23.0,-0.0013327152624869627
3750,ses-061,ses-062,1035,6188.0,6168.0,20.0,0.8463904176108773,0.9962554831573865,1.0,Insula L,20.0,0.00324254215304799
3751,ses-061,ses-062,2002,2177.0,2163.0,14.0,0.8253456221198157,0.9960105767319426,1.0,Caudal Anterior Cingulate R,14.0,0.006472491909385114
3754,ses-061,ses-062,2006,1459.0,1511.0,52.0,0.7622895622895622,0.963466897487993,1.0,Entorhinal Cortex R,-52.0,-0.03441429516876241
3755,ses-061,ses-062,2007,8042.0,7835.0,207.0,0.8296277634313787,0.9886817997000573,1.0,Fusiform Gyrus R,207.0,0.026419910657306957
3756,ses-061,ses-062,2008,15731.0,16018.0,287.0,0.8186714542190305,0.9951558330750017,1.0,Inferior Parietal R,-287.0,-0.01791734298913722
3760,ses-061,ses-062,2012,8381.0,7992.0,389.0,0.8063274903805044,0.9774937485271855,1.0,Lateral Orbitofrontal R,389.0,0.04867367367367367
3762,ses-061,ses-062,2014,3951.0,4059.0,108.0,0.7917602996254681,0.993182908036675,1.0,Medial Orbitofrontal R,-108.0,-0.026607538802660754
3776,ses-061,ses-062,2028,30515.0,30250.0,265.0,0.8463095531967415,0.9949278296521329,1.0,Superior Frontal R,265.0,0.008760330578512396
3778,ses-061,ses-062,2030,17170.0,17135.0,35.0,0.8353301268036729,0.9898623561754469,1.0,Superior Temporal R,35.0,0.0020426028596440037
3781,ses-061,ses-062,2035,6133.0,6226.0,93.0,0.8589691722631281,0.9921965536261441,1.0,Insula R,-93.0,-0.014937359460327659
3782,ses-062,ses-063,1002,3660.0,3565.0,95.0,0.8119031141868512,0.9966336768878223,1.0,Caudal Anterior Cingulate L,95.0,0.02664796633941094
3785,ses-062,ses-063,1006,1430.0,1430.0,0.0,0.7979020979020979,0.9765873256983588,1.0,Entorhinal Cortex L,0.0,0.0
3786,ses-062,ses-063,1007,9026.0,9100.0,74.0,0.8347125675824782,0.9925611938376615,1.0,Fusiform Gyrus L,-74.0,-0.008131868131868131
3787,ses-062,ses-063,1008,13336.0,13636.0,300.0,0.8327154085718523,0.9953481004176252,1.0,Inferior Parietal L,-300.0,-0.02200058668231153
3791,ses-062,ses-063,1012,8400.0,8314.0,86.0,0.8109369390929759,0.993123938804203,1.0,Lateral Orbitofrontal L,86.0,0.010343998075535241
3793,ses-062,ses-063,1014,4712.0,4544.0,168.0,0.7808988764044944,0.9909440544106548,1.0,Medial Orbitofrontal L,168.0,0.03697183098591549
3807,ses-062,ses-063,1028,26182.0,25626.0,556.0,0.8224212476837554,0.997389902492181,1.0,Superior Frontal L,556.0,0.021696714274564894
3809,ses-062,ses-063,1030,17258.0,16988.0,270.0,0.8530631314606085,0.9961952191745329,1.0,Superior Temporal L,270.0,0.015893571933129267
3812,ses-062,ses-063,1035,6168.0,6270.0,102.0,0.8546390094870558,0.9956891283578764,1.0,Insula L,-102.0,-0.016267942583732056
3813,ses-062,ses-063,2002,2163.0,2265.0,102.0,0.7958446251129178,0.9800480406679168,1.0,Caudal Anterior Cingulate R,-102.0,-0.045033112582781455
3816,ses-062,ses-063,2006,1511.0,1428.0,83.0,0.8152432800272201,0.9809267299372885,1.0,Entorhinal Cortex R,83.0,0.05812324929971989
3817,ses-062,ses-063,2007,7835.0,7937.0,102.0,0.8332487953335024,0.9911502151014027,1.0,Fusiform Gyrus R,-102.0,-0.012851203225400025
3818,ses-062,ses-063,2008,16018.0,15969.0,49.0,0.8374026948447807,0.9943550933261921,1.0,Inferior Parietal R,49.0,0.003068445112405285
3822,ses-062,ses-063,2012,7992.0,8005.0,13.0,0.7997749578045884,0.974469915318298,1.0,Lateral Orbitofrontal R,-13.0,-0.0016239850093691442
3824,ses-062,ses-063,2014,4059.0,4265.0,206.0,0.7618933205189813,0.9812118646110084,1.0,Medial Orbitofrontal R,-206.0,-0.048300117233294255
3838,ses-062,ses-063,2028,30250.0,29602.0,648.0,0.8226959834257837,0.9944172105373547,1.0,Superior Frontal R,648.0,0.021890412809945275
3840,ses-062,ses-063,2030,17135.0,17092.0,43.0,0.8545300493762235,0.9920513579685825,1.0,Superior Temporal R,43.0,0.0025157968640299555
3843,ses-062,ses-063,2035,6226.0,6270.0,44.0,0.8541933418693982,0.9961687521835724,1.0,Insula R,-44.0,-0.007017543859649123
3844,ses-063,ses-064,1002,3565.0,3438.0,127.0,0.8270741110952449,0.9949774621708511,1.0,Caudal Anterior Cingulate L,127.0,0.036940081442699245
3847,ses-063,ses-064,1006,1430.0,1375.0,55.0,0.7344028520499108,0.9470769891396003,1.4142135623730951,Entorhinal Cortex L,55.0,0.04
3848,ses-063,ses-064,1007,9100.0,8973.0,127.0,0.7484092292369834,0.9794036531857975,1.0,Fusiform Gyrus L,127.0,0.014153571826590884
3849,ses-063,ses-064,1008,13636.0,13076.0,560.0,0.7786013776579814,0.9865427697237422,1.0,Inferior Parietal L,560.0,0.042826552462526764
3853,ses-063,ses-064,1012,8314.0,8268.0,46.0,0.8148594861898444,0.9911355844259383,1.0,Lateral Orbitofrontal L,46.0,0.005563618771165941
3855,ses-063,ses-064,1014,4544.0,4569.0,25.0,0.7821793042905739,0.9830284102155014,1.0,Medial Orbitofrontal L,-25.0,-0.005471656817684395
3869,ses-063,ses-064,1028,25626.0,26379.0,753.0,0.8316892606480146,0.9960910354116737,1.0,Superior Frontal L,-753.0,-0.028545433867849426
3871,ses-063,ses-064,1030,16988.0,16952.0,36.0,0.7869180907483795,0.9851969111284548,1.0,Superior Temporal L,36.0,0.0021236432279377066
3874,ses-063,ses-064,1035,6270.0,6197.0,73.0,0.8386941525627657,0.9924838483111691,1.0,Insula L,73.0,0.011779893496853317
3875,ses-063,ses-064,2002,2265.0,2178.0,87.0,0.8147647985595319,0.9878017096283545,1.0,Caudal Anterior Cingulate R,87.0,0.03994490358126722
3878,ses-063,ses-064,2006,1428.0,1453.0,25.0,0.7823672335994446,0.9711037870344553,1.0,Entorhinal Cortex R,-25.0,-0.017205781142463867
3879,ses-063,ses-064,2007,7937.0,7944.0,7.0,0.7835778603362509,0.9860097638345419,1.0,Fusiform Gyrus R,-7.0,-0.0008811681772406848
3880,ses-063,ses-064,2008,15969.0,15453.0,516.0,0.8292279294761632,0.9950075162180168,1.0,Inferior Parietal R,516.0,0.0333915744515628
3884,ses-063,ses-064,2012,8005.0,8257.0,252.0,0.803591194195056,0.9850201497991644,1.0,Lateral Orbitofrontal R,-252.0,-0.030519559161923216
3886,ses-063,ses-064,2014,4265.0,4136.0,129.0,0.7706225449351267,0.9876489683053151,1.0,Medial Orbitofrontal R,129.0,0.031189555125725337
3900,ses-063,ses-064,2028,29602.0,30122.0,520.0,0.8222155247471703,0.9937364851138983,1.0,Superior Frontal R,-520.0,-0.01726312993825111
3902,ses-063,ses-064,2030,17092.0,16759.0,333.0,0.8158104635018167,0.9850074610838061,1.0,Superior Temporal R,333.0,0.019869920639656303
3905,ses-063,ses-064,2035,6270.0,6218.0,52.0,0.8444907110826393,0.9909127080877314,1.0,Insula R,52.0,0.008362817626246381
3906,ses-064,ses-065,1002,3438.0,3399.0,39.0,0.8067866023109551,0.9908891548296762,1.0,Caudal Anterior Cingulate L,39.0,0.01147396293027361
3909,ses-064,ses-065,1006,1375.0,1290.0,85.0,0.7174484052532834,0.9459057269373917,1.4142135623730951,Entorhinal Cortex L,85.0,0.06589147286821706
3910,ses-064,ses-065,1007,8973.0,9125.0,152.0,0.7440601171400155,0.9711974206327023,1.0,Fusiform Gyrus L,-152.0,-0.01665753424657534
3911,ses-064,ses-065,1008,13076.0,12473.0,603.0,0.793847117304004,0.9861929793645507,1.0,Inferior Parietal L,603.0,0.048344423955744405
3915,ses-064,ses-065,1012,8268.0,7976.0,292.0,0.7773947303619798,0.9717054922016174,1.0,Lateral Orbitofrontal L,292.0,0.0366098294884654
3917,ses-064,ses-065,1014,4569.0,4333.0,236.0,0.7699393394742754,0.9805309558978164,1.0,Medial Orbitofrontal L,236.0,0.0544657281329333
3931,ses-064,ses-065,1028,26379.0,25975.0,404.0,0.8207586812850977,0.9944115105580487,1.0,Superior Frontal L,404.0,0.015553416746871992
3933,ses-064,ses-065,1030,16952.0,16918.0,34.0,0.7772069678181281,0.97798207227312,1.0,Superior Temporal L,34.0,0.00200969381723608
3936,ses-064,ses-065,1035,6197.0,6232.0,35.0,0.8145466248290288,0.9868500631660629,1.0,Insula L,-35.0,-0.0056161745827984595
3937,ses-064,ses-065,2002,2178.0,2143.0,35.0,0.817403378847489,0.9934694146213957,1.0,Caudal Anterior Cingulate R,35.0,0.016332244517032198
3940,ses-064,ses-065,2006,1453.0,1439.0,14.0,0.7786998616874136,0.9661629165531996,1.0,Entorhinal Cortex R,14.0,0.009728978457261988
3941,ses-064,ses-065,2007,7944.0,8055.0,111.0,0.7716732295768486,0.980908089522712,1.0,Fusiform Gyrus R,-111.0,-0.013780260707635009
3942,ses-064,ses-065,2008,15453.0,15771.0,318.0,0.7983602357161158,0.9922148749311166,1.0,Inferior Parietal R,-318.0,-0.02016359140194027
3946,ses-064,ses-065,2012,8257.0,8289.0,32.0,0.7859301341714009,0.9831122550271486,1.0,Lateral Orbitofrontal R,-32.0,-0.0038605380624924597
3948,ses-064,ses-065,2014,4136.0,4142.0,6.0,0.7489731819280019,0.9776283069075886,1.0,Medial Orbitofrontal R,-6.0,-0.0014485755673587638
3962,ses-064,ses-065,2028,30122.0,30013.0,109.0,0.8214849921011058,0.992456298984621,1.0,Superior Frontal R,109.0,0.0036317595708526304
3964,ses-064,ses-065,2030,16759.0,16742.0,17.0,0.8119757619175547,0.9833259039202357,1.0,Superior Temporal R,17.0,0.0010154103452395173
3967,ses-064,ses-065,2035,6218.0,6151.0,67.0,0.8581130244967257,0.9948538116725584,1.0,Insula R,67.0,0.010892537798731913
3968,ses-065,ses-066,1002,3399.0,3395.0,4.0,0.8174860170738887,0.989368861093475,1.0,Caudal Anterior Cingulate L,4.0,0.00117820324005891
3971,ses-065,ses-066,1006,1290.0,1377.0,87.0,0.7206599175103112,0.9529978254841125,1.4142135623730951,Entorhinal Cortex L,-87.0,-0.06318082788671024
3972,ses-065,ses-066,1007,9125.0,9012.0,113.0,0.7454375034459944,0.9678165891982472,1.0,Fusiform Gyrus L,113.0,0.012538837106080782
3973,ses-065,ses-066,1008,12473.0,14383.0,1910.0,0.7467977360738755,0.9677625894531363,1.0,Inferior Parietal L,-1910.0,-0.13279566154487937
3977,ses-065,ses-066,1012,7976.0,8859.0,883.0,0.7600831600831601,0.953006337921222,1.4142135623730951,Lateral Orbitofrontal L,-883.0,-0.09967264928321481
3979,ses-065,ses-066,1014,4333.0,4836.0,503.0,0.7348674882757117,0.9524343859203123,1.4142135623730951,Medial Orbitofrontal L,-503.0,-0.10401157981803143
3993,ses-065,ses-066,1028,25975.0,27789.0,1814.0,0.7589093073432036,0.9832580639102317,1.0,Superior Frontal L,-1814.0,-0.06527762783835331
3995,ses-065,ses-066,1030,16918.0,17767.0,849.0,0.812108980827447,0.9835455174203795,1.0,Superior Temporal L,-849.0,-0.04778521978949738
3998,ses-065,ses-066,1035,6232.0,6339.0,107.0,0.8317556280327738,0.9878926036787148,1.0,Insula L,-107.0,-0.016879634011673767
3999,ses-065,ses-066,2002,2143.0,2213.0,70.0,0.8140495867768595,0.9886593225533319,1.0,Caudal Anterior Cingulate R,-70.0,-0.031631269769543606
4002,ses-065,ses-066,2006,1439.0,1369.0,70.0,0.7172364672364673,0.9314993322856489,1.4142135623730951,Entorhinal Cortex R,70.0,0.05113221329437546
4003,ses-065,ses-066,2007,8055.0,8231.0,176.0,0.7381800319292644,0.9573434013733828,1.4142135623730951,Fusiform Gyrus R,-176.0,-0.021382578058559105
4004,ses-065,ses-066,2008,15771.0,16942.0,1171.0,0.778222724910586,0.9800889553094327,1.0,Inferior Parietal R,-1171.0,-0.0691181678668398
4008,ses-065,ses-066,2012,8289.0,8768.0,479.0,0.746672920208712,0.9432976686970214,1.4142135623730951,Lateral Orbitofrontal R,-479.0,-0.05463047445255474
4010,ses-065,ses-066,2014,4142.0,3893.0,249.0,0.7347853142501556,0.9559906085770029,1.4142135623730951,Medial Orbitofrontal R,249.0,0.06396095556126381
4024,ses-065,ses-066,2028,30013.0,31387.0,1374.0,0.7782736156351792,0.9817660413316852,1.0,Superior Frontal R,-1374.0,-0.04377608564055182
4026,ses-065,ses-066,2030,16742.0,17236.0,494.0,0.7916887397727942,0.9758178585178287,1.0,Superior Temporal R,-494.0,-0.02866094221397076
4029,ses-065,ses-066,2035,6151.0,6281.0,130.0,0.8523166023166023,0.9931025264285577,1.0,Insula R,-130.0,-0.020697341187708964
4030,ses-066,ses-067,1002,3395.0,3728.0,333.0,0.7502456829987365,0.9544919086129596,1.4142135623730951,Caudal Anterior Cingulate L,-333.0,-0.08932403433476395
4033,ses-066,ses-067,1006,1377.0,1458.0,81.0,0.7851851851851852,0.9716454507118191,1.0,Entorhinal Cortex L,-81.0,-0.05555555555555555
4034,ses-066,ses-067,1007,9012.0,9085.0,73.0,0.8319610985246173,0.991591249379689,1.0,Fusiform Gyrus L,-73.0,-0.008035222894881674
4035,ses-066,ses-067,1008,14383.0,13357.0,1026.0,0.8028839221341024,0.9896081618430228,1.0,Inferior Parietal L,1026.0,0.07681365576102418
