,session1,session2,label,volume1,volume2,volume_diff,dice,surface_dice,hd95,label_name,volume_diff_noabs,percentage_vol_diff
3297,ses-054,ses-055,1014,4739.0,4430.0,309.0,0.6875340822336132,0.9496980181853515,1.4142135623730951,Medial Orbitofrontal L,309.0,0.06975169300225734
3311,ses-054,ses-055,1028,27935.0,26173.0,1762.0,0.7712353071634509,0.9866871233415602,1.0,Superior Frontal L,1762.0,0.06732128529400527
3313,ses-054,ses-055,1030,17422.0,17097.0,325.0,0.8466641559720733,0.9912034099195379,1.0,Superior Temporal L,325.0,0.01900918289758437
3316,ses-054,ses-055,1035,6313.0,6007.0,306.0,0.8368506493506493,0.9885377340352673,1.0,Insula L,306.0,0.05094056933577493
3317,ses-054,ses-055,2002,2287.0,2110.0,177.0,0.8196497612008188,0.9910380395754137,1.0,Caudal Anterior Cingulate R,177.0,0.08388625592417062
3320,ses-054,ses-055,2006,1455.0,1413.0,42.0,0.7461645746164575,0.9597668876795998,1.4142135623730951,Entorhinal Cortex R,42.0,0.029723991507430998
3321,ses-054,ses-055,2007,8353.0,7839.0,514.0,0.7955780632411067,0.9813005900926001,1.0,Fusiform Gyrus R,514.0,0.06556958795764765
3322,ses-054,ses-055,2008,17314.0,15688.0,1626.0,0.8111629598206169,0.9879513400129561,1.0,Inferior Parietal R,1626.0,0.1036460989291178
3326,ses-054,ses-055,2012,8690.0,8357.0,333.0,0.7327975596879216,0.9557438984609439,1.0,Lateral Orbitofrontal R,333.0,0.039846834988632285
3328,ses-054,ses-055,2014,4213.0,4157.0,56.0,0.6704898446833931,0.9235682376728527,2.23606797749979,Medial Orbitofrontal R,56.0,0.013471253307673804
3342,ses-054,ses-055,2028,31764.0,30337.0,1427.0,0.7558654450008857,0.981170224221234,1.0,Superior Frontal R,1427.0,0.04703827009921878
3344,ses-054,ses-055,2030,17488.0,17094.0,394.0,0.8243594933780579,0.9830792384637587,1.0,Superior Temporal R,394.0,0.023049023049023048
3347,ses-054,ses-055,2035,6142.0,6055.0,87.0,0.8436500778880053,0.9940748508584023,1.0,Insula R,87.0,0.014368290668868704
3348,ses-055,ses-056,1002,3437.0,3235.0,202.0,0.8243405275779376,0.9810347637384718,1.0,Caudal Anterior Cingulate L,202.0,0.062442040185471406
3351,ses-055,ses-056,1006,1605.0,1292.0,313.0,0.744218156713842,0.9241230732511244,2.449489742783178,Entorhinal Cortex L,313.0,0.24226006191950464
3352,ses-055,ses-056,1007,8443.0,8966.0,523.0,0.821643977253145,0.9794027153242927,1.0,Fusiform Gyrus L,-523.0,-0.05833147445906759
3353,ses-055,ses-056,1008,13485.0,13137.0,348.0,0.8311171211779731,0.9966427731162205,1.0,Inferior Parietal L,348.0,0.026490066225165563
3357,ses-055,ses-056,1012,7857.0,7422.0,435.0,0.8270174749656392,0.9948989398428008,1.0,Lateral Orbitofrontal L,435.0,0.058609539207760714
3359,ses-055,ses-056,1014,4430.0,3924.0,506.0,0.7948288245152023,0.9896067656553071,1.0,Medial Orbitofrontal L,506.0,0.1289500509683996
3373,ses-055,ses-056,1028,26173.0,24136.0,2037.0,0.8231131606670775,0.9949695371218639,1.0,Superior Frontal L,2037.0,0.0843967517401392
3375,ses-055,ses-056,1030,17097.0,16590.0,507.0,0.8334966010627245,0.993689808100696,1.0,Superior Temporal L,507.0,0.030560578661844483
3378,ses-055,ses-056,1035,6007.0,5841.0,166.0,0.849426063470628,0.9965147612432309,1.0,Insula L,166.0,0.028419791131655537
3379,ses-055,ses-056,2002,2110.0,1955.0,155.0,0.822140221402214,0.9923315202035293,1.0,Caudal Anterior Cingulate R,155.0,0.0792838874680307
