session1,session2,label,volume1,volume2,volume_diff,dice,surface_dice,hd95,subject
ses-siteATTd1,ses-siteATTd3,1006,1915.0,1915.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd3,1007,8783.0,8783.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd3,1008,16799.0,16799.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd3,1012,9521.0,9521.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd3,1014,5363.0,5363.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd3,1028,25407.0,25407.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd3,1030,16935.0,16935.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd3,1035,6594.0,6594.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd3,2002,2198.0,2198.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd3,2006,1850.0,1850.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd3,2007,9858.0,9858.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd3,2008,16983.0,16983.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd3,2012,9860.0,9860.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd3,2014,5474.0,5474.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd3,2028,29198.0,29198.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd3,2030,19128.0,19128.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd3,2035,6554.0,6554.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd4,10,9328.0,9328.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd4,11,4166.0,4166.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd4,12,5117.0,5117.0,0.0,1.0,1.0,0.0,sub-01
ses-siteATTd1,ses-siteATTd4,13,2260.0,2260.0,0.0,1.0,1.0,0.0,sub-01
