session1,session2,label,volume1,volume2,volume_diff,dice,surface_dice,hd95,subject
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,58,702.0,724.0,22.0,0.8976157082748948,0.9994236305518782,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,60,4183.0,4278.0,95.0,0.9254225268880747,0.9989579135678451,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,77,11.0,12.0,1.0,0.34782608695652173,0.811882229396629,12.529964086141668,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,251,976.0,1006.0,30.0,0.9616548940464178,1.0,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,252,576.0,513.0,-63.0,0.8870523415977961,0.9951522648068137,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,253,819.0,757.0,-62.0,0.8362944162436549,0.9829532096459505,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,254,525.0,545.0,20.0,0.8579439252336448,0.9905567732570797,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,255,1148.0,1060.0,-88.0,0.8106884057971014,0.9537805208779631,1.7320508075688772,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,1002,2806.0,2784.0,-22.0,0.8493738819320215,0.9966294865548907,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,1003,6120.0,5711.0,-409.0,0.8291775843123996,0.9982495055812192,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,1005,3776.0,4045.0,269.0,0.6556706303541746,0.9844216195163379,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,1006,1248.0,1216.0,-32.0,0.8782467532467533,0.9872364783737089,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,1007,7544.0,7663.0,119.0,0.8539488393502992,0.9981128956733398,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,1008,13785.0,14255.0,470.0,0.7187589158345221,0.9640569436334031,1.4142135623730951,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,1009,13711.0,13874.0,163.0,0.8755483052383541,0.9956745791963819,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,1010,2735.0,2807.0,72.0,0.874413569108625,0.999592159617103,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,1011,12965.0,13395.0,430.0,0.7194992412746586,0.9788371234985681,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,1012,8975.0,8956.0,-19.0,0.8418939267190898,0.9960553244121048,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,1013,6301.0,6657.0,356.0,0.8133971291866029,0.9986209210704252,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,1014,4153.0,4135.0,-18.0,0.8383204633204633,0.9975589535342643,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,1015,16774.0,17223.0,449.0,0.8281907227108274,0.9873440603388705,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,1016,1855.0,1791.0,-64.0,0.8601206801974767,0.9984193898366204,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,1017,4329.0,4301.0,-28.0,0.8634994206257243,0.9995585976217105,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,1018,5632.0,5588.0,-44.0,0.848663101604278,0.9990821832954588,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,1019,2406.0,2458.0,52.0,0.78125,0.9977268305630425,1.0,sub-02
